,wavenumber,experimental,CO2 v2a phase I,CO2 v2b phase I,CO2 gas,linear baseline,residue,CO2 gas experimental
53,650.885,4.35032,0.160015,1.37483,0.124421,2.53449,0.156563,0.145348
54,651.849,4.23194,0.309613,1.10402,0.125418,2.4941,0.198785,0.146985
55,652.813,3.72585,0.558465,0.693412,0.125213,2.45371,-0.104942,0.139033
56,653.778,3.63381,0.939053,0.340636,0.123889,2.41331,-0.183085,0.140264
57,654.742,4.10371,1.47198,0.13088,0.121575,2.37292,0.00635397,0.154692
58,655.706,4.45318,2.15097,0.0393318,0.118446,2.33252,-0.18809,0.143825
59,656.671,5.00389,2.93001,0.00924633,0.114705,2.29213,-0.342204,0.130198
60,657.635,6.31506,3.72082,0.00169989,0.110582,2.25174,0.230224,0.141209
61,658.599,7.14269,4.4048,0.000244431,0.106316,2.21135,0.419987,0.146972
62,659.563,7.23253,4.86103,2.74967e-05,0.102146,2.17096,0.0983747,0.126868
63,660.528,7.107,5.00097,2.41879e-06,0.0982989,2.13056,-0.122836,0.111362
64,661.492,7.0674,4.79621,1.66418e-07,0.0949782,2.09017,0.0860359,0.12125
65,662.456,6.24671,4.28812,8.95829e-09,0.0923578,2.04978,-0.183549,0.1193
66,663.42,5.24826,3.57396,3.77059e-10,0.0905728,2.00939,-0.425664,0.08795
67,664.385,4.68534,2.77684,1.2413e-11,0.0897284,1.96899,-0.150223,0.0728445
68,665.349,4.40963,2.01127,3.19618e-13,0.0905514,1.9286,0.379204,0.0822226
69,666.313,3.7304,1.35802,6.43681e-15,0.108495,1.8882,0.375675,0.125087
70,667.278,3.08753,0.85484,1.01435e-16,0.333077,1.84782,0.0518014,0.337206
71,668.242,3.0318,0.501604,1.2497e-18,0.8694,1.80742,-0.146629,0.848897
72,669.206,2.74119,0.274381,1.20424e-20,0.5429,1.76703,0.156884,0.536972
73,670.17,2.19093,0.139916,9.07621e-23,0.235618,1.72663,0.0887589,0.243268
74,671.135,1.8019,0.0665168,5.35326e-25,0.125463,1.68624,-0.0763247,0.137674
75,672.099,1.94851,0.0294769,2.46827e-27,0.114603,1.64585,0.158577,0.131543
76,673.063,1.89882,0.0121773,8.90111e-30,0.119069,1.60546,0.162114,0.140923
77,674.028,1.62997,0.0046901,2.51224e-32,0.124204,1.56507,-0.0639945,0.138113
78,674.992,1.50891,0.0016838,5.54245e-35,0.129108,1.52467,-0.146555,0.140961
79,675.956,1.59384,0.000563529,9.5636e-38,0.1336,1.48428,-0.0246013,0.152018
80,676.92,1.60104,0.000175838,1.29163e-40,0.137525,1.44389,0.0194468,0.158909
81,677.885,1.51973,5.1142e-05,1.35475e-43,0.140748,1.4035,-0.0245668,0.158511
82,678.849,1.33548,1.38663e-05,0.0,0.143155,1.3631,-0.170792,0.153509
83,679.813,1.34263,3.50478e-06,0.0,0.144657,1.32271,-0.124743,0.153869
84,680.778,1.49214,8.2581e-07,0.0,0.145192,1.28231,0.0646305,0.160638
85,681.742,1.39329,1.81392e-07,0.0,0.144724,1.24192,0.00664298,0.156576
86,682.706,1.14485,3.71487e-08,0.0,0.143246,1.20153,-0.199921,0.143515
87,683.67,1.21192,7.09118e-09,0.0,0.140775,1.16114,-0.0899961,0.140145
88,684.635,1.40265,1.26187e-09,0.0,0.137356,1.12074,0.144551,0.146324
89,685.599,1.28381,2.09366e-10,0.0,0.133054,1.08035,0.0704066,0.139416
90,686.563,1.08036,3.23773e-11,0.0,0.127952,1.03996,-0.0875549,0.124597
91,687.527,1.16127,4.66756e-12,0.0,0.122152,0.999566,0.0395538,0.126006
92,688.492,1.35155,6.27407e-13,0.0,0.115766,0.959176,0.276606,0.134547
93,689.456,1.22418,7.8603e-14,0.0,0.108913,0.918782,0.196488,0.125377
94,690.42,1.03632,9.18007e-15,0.0,0.101717,0.878388,0.0562152,0.105497
95,691.385,1.1035,9.99475e-16,0.0,0.0943028,0.837994,0.1712,0.0998224
96,692.349,1.30403,1.01441e-16,0.0,0.0867896,0.797601,0.419643,0.10262
97,693.313,1.16984,9.60031e-18,0.0,0.0792916,0.757211,0.33334,0.0950217
98,694.277,1.00476,8.46771e-19,0.0,0.0719107,0.716817,0.216036,0.0805441
99,695.242,1.0617,6.96253e-20,0.0,0.0647396,0.676423,0.32054,0.0762428
100,696.206,1.23492,5.33683e-21,0.0,0.0578572,0.636029,0.541036,0.079213
101,697.17,1.12273,3.81452e-22,0.0,0.0513287,0.59564,0.475761,0.0719634
102,698.134,0.997854,2.54096e-23,0.0,0.045203,0.555246,0.397405,0.0590695
103,699.099,1.05343,1.57833e-24,0.0,0.0395176,0.514856,0.499057,0.0542104
104,700.063,1.21943,9.13684e-26,0.0,0.0342939,0.474462,0.710678,0.0558953
105,701.027,1.10963,4.9307e-27,0.0,0.0295429,0.434069,0.646022,0.049847
106,701.991,0.992164,2.48052e-28,0.0,0.0252638,0.393675,0.573226,0.0395688
107,702.956,1.04004,1.16367e-29,0.0,0.0214468,0.353285,0.665309,0.0388354
108,703.92,1.16546,5.0875e-31,0.0,0.0180729,0.312891,0.834499,0.043307
109,704.884,1.07337,2.07342e-32,0.0,0.0151183,0.272498,0.785753,0.0400633
110,705.849,0.94313,7.87765e-34,0.0,0.0125541,0.232104,0.698473,0.0312242
111,706.813,1.01092,2.79012e-35,0.0,0.0103486,0.19171,0.808861,0.0294375
112,707.777,1.11307,9.21548e-37,0.0,0.00846822,0.15132,0.953282,0.0329789
113,708.741,1.05436,2.83651e-38,0.0,0.00687868,0.110926,0.936556,0.0288039
114,709.706,0.946678,8.13901e-40,0.0,0.00554661,0.0705325,0.870599,0.021873
115,710.67,1.00619,2.17804e-41,0.0,0.00443987,0.0301429,0.971608,0.0222313
116,711.634,1.09584,5.39778e-43,0.0,0.00352786,-0.0102509,1.10257,0.0260287
117,712.598,1.04555,1.40202e-44,0.0,0.00278268,-0.0506448,1.09341,0.0242665
118,713.563,0.968721,0.0,0.0,0.00217889,-0.0910344,1.05758,0.0202917
119,714.527,1.02251,0.0,0.0,0.00169358,-0.131428,1.15224,0.0206673
120,715.491,1.08433,0.0,0.0,0.00130673,-0.171822,1.25485,0.0231778
121,716.456,1.04874,0.0,0.0,0.00100086,-0.212216,1.25995,0.0217084
122,717.42,0.980677,0.0,0.0,0.000760981,-0.25261,1.23253,0.0192893
123,718.384,1.012,0.0,0.0,0.000574357,-0.293004,1.30443,0.0262145
124,719.348,1.05188,0.0,0.0,0.000430341,-0.333393,1.38484,0.0536554
125,720.313,1.0326,0.0,0.0,0.000320067,-0.373787,1.40607,0.0781102
126,721.277,1.00558,0.0,0.0,0.000236308,-0.414181,1.41952,0.0501036
127,722.241,1.04063,0.0,0.0,0.000173196,-0.454571,1.49503,0.0230889
128,723.206,1.07446,0.0,0.0,0.000126007,-0.494964,1.5693,0.0213253
129,724.17,1.02791,0.0,0.0,9.10041e-05,-0.535358,1.56317,0.02014
130,725.134,1.01231,0.0,0.0,6.52457e-05,-0.575748,1.58799,0.0196569
131,726.098,1.05224,0.0,0.0,4.64341e-05,-0.616142,1.66834,0.0220517
132,727.063,1.076,0.0,0.0,3.28044e-05,-0.656536,1.73251,0.0238412
133,728.027,1.03743,0.0,0.0,2.30057e-05,-0.696929,1.73434,0.0224914
134,728.991,1.04577,0.0,0.0,1.60164e-05,-0.737319,1.78308,0.022799
135,729.955,1.08345,0.0,0.0,1.10685e-05,-0.777713,1.86115,0.0253746
136,730.92,1.0846,0.0,0.0,7.59316e-06,-0.818107,1.9027,0.0256344
137,731.884,1.02994,0.0,0.0,5.17088e-06,-0.8585,1.88843,0.0228421
138,732.848,1.05632,0.0,0.0,3.49556e-06,-0.898894,1.95521,0.0234823
139,733.812,1.12152,0.0,0.0,2.34583e-06,-0.939284,2.0608,0.0270943
140,734.777,1.11046,0.0,0.0,1.56267e-06,-0.979678,2.09013,0.0274082
141,735.741,1.0576,0.0,0.0,1.03335e-06,-1.02007,2.07767,0.0241389
142,736.705,1.09183,0.0,0.0,6.78355e-07,-1.06046,2.15229,0.0246701
143,737.67,1.17202,0.0,0.0,4.42036e-07,-1.10086,2.27287,0.0284915
144,738.634,1.15602,0.0,0.0,2.85935e-07,-1.14125,2.29727,0.028221
145,739.598,1.06089,0.0,0.0,1.83614e-07,-1.18164,2.24253,0.0244447
146,740.562,1.07373,0.0,0.0,1.1704e-07,-1.22203,2.29576,0.0264889
147,741.527,1.14923,0.0,0.0,7.40581e-08,-1.26243,2.41165,0.0317879
148,742.491,1.10767,0.0,0.0,4.65179e-08,-1.30282,2.41049,0.0301283
149,743.455,1.00097,0.0,0.0,2.90053e-08,-1.34321,2.34418,0.0242001
150,744.42,1.01507,0.0,0.0,1.79533e-08,-1.38361,2.39868,0.0249173
151,745.384,1.13985,0.0,0.0,1.10317e-08,-1.424,2.56385,0.0298178
152,746.348,1.09767,0.0,0.0,6.72865e-09,-1.46439,2.56206,0.0292486
153,747.312,0.988904,0.0,0.0,4.07402e-09,-1.50479,2.49369,0.023387
154,748.277,0.992517,0.0,0.0,2.44879e-09,-1.54517,2.53769,0.0227571
155,749.241,1.12811,0.0,0.0,1.46105e-09,-1.58557,2.71367,0.0285176
156,750.205,1.10134,0.0,0.0,8.65347e-10,-1.62596,2.7273,0.0295921
157,751.169,0.988473,0.0,0.0,5.08801e-10,-1.66635,2.65482,0.0234445
158,752.134,0.980727,0.0,0.0,2.96956e-10,-1.70675,2.68747,0.021893
159,753.098,1.12644,0.0,0.0,1.72046e-10,-1.74714,2.87358,0.0284204
160,754.062,1.12205,0.0,0.0,9.89479e-11,-1.78753,2.90959,0.0310034
161,755.027,0.989446,0.0,0.0,5.64909e-11,-1.82793,2.81737,0.0245019
162,755.991,0.960933,0.0,0.0,3.20174e-11,-1.86832,2.82925,0.0210393
163,756.955,1.10924,0.0,0.0,1.80126e-11,-1.90871,3.01795,0.0273253
164,757.919,1.13994,0.0,0.0,1.00595e-11,-1.9491,3.08904,0.0311021
165,758.884,1.00439,0.0,0.0,5.57683e-12,-1.9895,2.99389,0.0246253
166,759.848,0.944523,0.0,0.0,3.06926e-12,-2.02989,2.97441,0.0196942
167,760.812,1.10347,0.0,0.0,1.67673e-12,-2.07028,3.17375,0.026008
168,761.777,1.18556,0.0,0.0,9.0929e-13,-2.11068,3.29623,0.0315222
169,762.741,1.03514,0.0,0.0,4.8953e-13,-2.15107,3.1862,0.0255202
170,763.705,0.951853,0.0,0.0,2.616e-13,-2.19146,3.14331,0.0193741
171,764.669,1.09761,0.0,0.0,1.38773e-13,-2.23185,3.32947,0.025316
172,765.634,1.21344,0.0,0.0,7.30821e-14,-2.27224,3.48568,0.0317937
173,766.598,1.06669,0.0,0.0,3.8203e-14,-2.31264,3.37933,0.0264744
174,767.562,0.960034,0.0,0.0,1.98241e-14,-2.35303,3.31306,0.0192025
175,768.526,1.08546,0.0,0.0,1.02117e-14,-2.39342,3.47889,0.0237951
176,769.491,1.21986,0.0,0.0,5.22174e-15,-2.43382,3.65368,0.0315122
177,770.455,1.08132,0.0,0.0,2.65058e-15,-2.47421,3.55553,0.0275848
178,771.419,0.953835,0.0,0.0,1.33569e-15,-2.5146,3.46844,0.0194303
179,772.384,1.05585,0.0,0.0,6.68113e-16,-2.555,3.61084,0.0225043
180,773.348,1.23377,0.0,0.0,3.31744e-16,-2.59539,3.82916,0.0305188
181,774.312,1.12637,0.0,0.0,1.6353e-16,-2.63578,3.76215,0.0280017
182,775.276,0.973364,0.0,0.0,8.0015e-17,-2.67617,3.64954,0.019638
183,776.241,1.03801,0.0,0.0,3.88646e-17,-2.71657,3.75457,0.0215578
184,777.205,1.22294,0.0,0.0,1.87404e-17,-2.75696,3.97989,0.0301636
185,778.169,1.14634,0.0,0.0,8.96975e-18,-2.79735,3.94369,0.0286983
186,779.133,0.990594,0.0,0.0,4.26178e-18,-2.83774,3.82834,0.0196946
187,780.098,1.02511,0.0,0.0,2.01007e-18,-2.87814,3.90325,0.0195582
188,781.062,1.21949,0.0,0.0,9.41113e-19,-2.91853,4.13802,0.0280882
189,782.026,1.17325,0.0,0.0,4.37438e-19,-2.95892,4.13217,0.0288844
190,782.99,1.01531,0.0,0.0,2.01821e-19,-2.99931,4.01463,0.0206812
191,783.955,1.02098,0.0,0.0,9.24324e-20,-3.03971,4.06069,0.0192948
192,784.919,1.20772,0.0,0.0,4.20235e-20,-3.0801,4.28782,0.027169
193,785.883,1.20931,0.0,0.0,1.89673e-20,-3.12049,4.3298,0.0290778
194,786.848,1.0471,0.0,0.0,8.49756e-21,-3.16089,4.20799,0.0215335
195,787.812,1.02613,0.0,0.0,3.77912e-21,-3.20128,4.22741,0.0182142
196,788.776,1.20807,0.0,0.0,1.66853e-21,-3.24167,4.44974,0.0249985
197,789.74,1.24554,0.0,0.0,7.31225e-22,-3.28206,4.5276,0.0284803
198,790.705,1.10317,0.0,0.0,3.1811e-22,-3.32246,4.42563,0.0218188
199,791.669,1.05901,0.0,0.0,1.37388e-22,-3.36285,4.42185,0.0171893
200,792.633,1.23399,0.0,0.0,5.88973e-23,-3.40324,4.63723,0.0229914
201,793.597,1.30692,0.0,0.0,2.5064e-23,-3.44363,4.75055,0.0277316
202,794.562,1.19546,0.0,0.0,1.0588e-23,-3.48403,4.67949,0.0221703
203,795.526,1.13866,0.0,0.0,4.44005e-24,-3.52442,4.66308,0.0167202
204,796.49,1.27926,0.0,0.0,1.84829e-24,-3.56482,4.84408,0.0210866
205,797.455,1.38718,0.0,0.0,7.63841e-25,-3.60521,4.99239,0.0263233
206,798.419,1.2768,0.0,0.0,3.13332e-25,-3.6456,4.9224,0.022982
207,799.383,1.20148,0.0,0.0,1.2759e-25,-3.68599,4.88747,0.0167684
208,800.347,1.31008,0.0,0.0,5.15798e-26,-3.72638,5.03647,0.0186157
209,801.312,1.42124,0.0,0.0,2.06972e-26,-3.76678,5.18802,0.0235931
210,802.276,1.32739,0.0,0.0,8.24425e-27,-3.80717,5.13456,0.0214381
211,803.24,1.23735,0.0,0.0,3.26019e-27,-3.84756,5.08491,0.0163968
212,804.205,1.29757,0.0,0.0,1.27968e-27,-3.88795,5.18552,0.0175228
213,805.169,1.40158,0.0,0.0,4.98623e-28,-3.92835,5.32993,0.0219546
214,806.133,1.33885,0.0,0.0,1.92864e-28,-3.96874,5.30759,0.0208253
215,807.097,1.23953,0.0,0.0,7.40524e-29,-4.00914,5.24867,0.015826
216,808.062,1.26639,0.0,0.0,2.8228e-29,-4.04953,5.31591,0.0158749
217,809.026,1.36292,0.0,0.0,1.06804e-29,-4.08992,5.45284,0.020486
218,809.99,1.32786,0.0,0.0,4.01149e-30,-4.13031,5.45818,0.021028
219,810.955,1.22972,0.0,0.0,1.49566e-30,-4.17071,5.40043,0.017014
220,811.919,1.23756,0.0,0.0,5.53621e-31,-4.2111,5.44865,0.0158043
221,812.883,1.3277,0.0,0.0,2.03404e-31,-4.25149,5.57919,0.0195521
222,813.847,1.31667,0.0,0.0,7.41846e-32,-4.29188,5.60855,0.0209908
223,814.812,1.22337,0.0,0.0,2.68611e-32,-4.33227,5.55564,0.0174521
224,815.776,1.209,0.0,0.0,9.65382e-33,-4.37267,5.58167,0.0155824
225,816.74,1.28675,0.0,0.0,3.44416e-33,-4.41306,5.69981,0.0183913
226,817.704,1.30338,0.0,0.0,1.2199e-33,-4.45345,5.75683,0.0201961
227,818.669,1.22645,0.0,0.0,4.28871e-34,-4.49384,5.7203,0.0174246
228,819.633,1.19195,0.0,0.0,1.49672e-34,-4.53424,5.72619,0.0148351
229,820.597,1.25292,0.0,0.0,5.18516e-35,-4.57463,5.82755,0.0168624
230,821.562,1.29186,0.0,0.0,1.78317e-35,-4.61503,5.90688,0.0191961
231,822.526,1.24092,0.0,0.0,6.08745e-36,-4.65542,5.89634,0.0178215
232,823.49,1.2096,0.0,0.0,2.06317e-36,-4.69581,5.90541,0.0156916
233,824.454,1.24477,0.0,0.0,6.94057e-37,-4.7362,5.98098,0.0166346
234,825.419,1.28885,0.0,0.0,2.31774e-37,-4.7766,6.06545,0.0185671
235,826.383,1.26819,0.0,0.0,7.68413e-38,-4.81699,6.08517,0.0183111
236,827.347,1.2292,0.0,0.0,2.52862e-38,-4.85738,6.08659,0.0166316
237,828.311,1.23802,0.0,0.0,8.26005e-39,-4.89777,6.1358,0.016547
238,829.276,1.27581,0.0,0.0,2.67881e-39,-4.93816,6.21397,0.0179608
239,830.24,1.27684,0.0,0.0,8.62303e-40,-4.97856,6.2554,0.0182186
240,831.204,1.24593,0.0,0.0,2.75542e-40,-5.01895,6.26489,0.0166575
241,832.168,1.23331,0.0,0.0,8.74026e-41,-5.05935,6.29266,0.0160963
242,833.133,1.2699,0.0,0.0,2.75214e-41,-5.09974,6.36964,0.0176557
243,834.097,1.28575,0.0,0.0,8.60359e-42,-5.14013,6.42588,0.0186803
244,835.061,1.2634,0.0,0.0,2.66959e-42,-5.18052,6.44392,0.017637
245,836.026,1.2517,0.0,0.0,8.22281e-43,-5.22092,6.47262,0.0163957
246,836.99,1.27871,0.0,0.0,2.51423e-43,-5.26131,6.54002,0.0169058
247,837.954,1.29008,0.0,0.0,7.63226e-44,-5.3017,6.59178,0.0181929
248,838.918,1.27117,0.0,0.0,2.29963e-44,-5.34209,6.61326,0.0177246
249,839.883,1.25226,0.0,0.0,6.87814e-45,-5.38249,6.63475,0.0165298
250,840.847,1.27102,0.0,0.0,2.04244e-45,-5.42288,6.6939,0.0169081
251,841.811,1.29289,0.0,0.0,6.01979e-46,-5.46327,6.75617,0.0180598
252,842.775,1.28704,0.0,0.0,1.76126e-46,-5.50367,6.7907,0.0177305
253,843.74,1.2701,0.0,0.0,5.11601e-47,-5.54406,6.81416,0.0167841
254,844.704,1.28347,0.0,0.0,1.475e-47,-5.58445,6.86792,0.0167546
255,845.668,1.30464,0.0,0.0,4.22147e-48,-5.62484,6.92948,0.0178513
256,846.633,1.30117,0.0,0.0,1.19935e-48,-5.66524,6.9664,0.0181788
257,847.597,1.28121,0.0,0.0,3.38247e-49,-5.70563,6.98684,0.0174642
258,848.561,1.28246,0.0,0.0,9.46965e-50,-5.74602,7.02848,0.0172987
259,849.525,1.30217,0.0,0.0,2.63209e-50,-5.78641,7.08858,0.0180342
260,850.49,1.3101,0.0,0.0,7.26138e-51,-5.82681,7.13691,0.0184017
261,851.454,1.30129,0.0,0.0,1.9886e-51,-5.8672,7.16849,0.0180169
262,852.418,1.30521,0.0,0.0,5.40685e-52,-5.90759,7.2128,0.0175712
263,853.383,1.32174,0.0,0.0,1.45912e-52,-5.94799,7.26972,0.0180311
264,854.347,1.33432,0.0,0.0,3.90885e-53,-5.98838,7.3227,0.0187212
265,855.311,1.33593,0.0,0.0,1.03962e-53,-6.02877,7.3647,0.0184258
266,856.275,1.33427,0.0,0.0,2.74442e-54,-6.06916,7.40343,0.0178139
267,857.24,1.34077,0.0,0.0,7.19179e-55,-6.10956,7.45033,0.0179645
268,858.204,1.34834,0.0,0.0,1.87082e-55,-6.14995,7.4983,0.0184608
269,859.168,1.34786,0.0,0.0,4.831e-56,-6.19034,7.5382,0.0184658
270,860.132,1.34012,0.0,0.0,1.23855e-56,-6.23073,7.57086,0.0179207
271,861.097,1.33989,0.0,0.0,3.15164e-57,-6.27113,7.61102,0.0178282
272,862.061,1.3441,0.0,0.0,7.96104e-58,-6.31152,7.65562,0.0183231
273,863.025,1.34743,0.0,0.0,1.99624e-58,-6.35192,7.69934,0.0184457
274,863.99,1.35413,0.0,0.0,4.96967e-59,-6.3923,7.74643,0.0182594
275,864.954,1.35212,0.0,0.0,1.22798e-59,-6.4327,7.78482,0.0187738
276,865.918,1.36338,0.0,0.0,3.01205e-60,-6.47309,7.83647,0.0191468
277,866.882,1.36972,0.0,0.0,7.33511e-61,-6.51348,7.8832,0.0191895
278,867.847,1.3696,0.0,0.0,1.77296e-61,-6.55388,7.92348,0.0190856
279,868.811,1.36065,0.0,0.0,4.25401e-62,-6.59427,7.95492,0.0189294
280,869.775,1.3541,0.0,0.0,1.01338e-62,-6.63466,7.98876,0.0186438
281,870.739,1.35656,0.0,0.0,2.39603e-63,-6.67505,8.03162,0.01857
282,871.704,1.36175,0.0,0.0,5.6237e-64,-6.71545,8.07719,0.0185672
283,872.668,1.35965,0.0,0.0,1.31027e-64,-6.75584,8.11549,0.018479
284,873.632,1.3542,0.0,0.0,3.03046e-65,-6.79623,8.15043,0.0184477
285,874.597,1.35651,0.0,0.0,6.95771e-66,-6.83663,8.19314,0.0187722
286,875.561,1.37426,0.0,0.0,1.58599e-66,-6.87702,8.25128,0.0192156
287,876.525,1.37723,0.0,0.0,3.58821e-67,-6.91741,8.29464,0.0195212
288,877.489,1.37344,0.0,0.0,8.05868e-68,-6.95781,8.33125,0.0194764
289,878.454,1.37215,0.0,0.0,1.79691e-68,-6.9982,8.37035,0.0197193
290,879.418,1.38406,0.0,0.0,3.9768e-69,-7.03859,8.42265,0.020167
291,880.382,1.39002,0.0,0.0,8.73672e-70,-7.07898,8.469,0.0201945
292,881.346,1.38824,0.0,0.0,1.90564e-70,-7.11937,8.50761,0.0201057
293,882.311,1.37772,0.0,0.0,4.1255e-71,-7.15977,8.53749,0.0204322
294,883.275,1.37929,0.0,0.0,8.86585e-72,-7.20016,8.57945,0.0208436
295,884.239,1.38288,0.0,0.0,1.89136e-72,-7.24055,8.62344,0.0209232
296,885.204,1.38248,0.0,0.0,4.00531e-73,-7.28095,8.66343,0.0206168
297,886.168,1.38793,0.0,0.0,8.42131e-74,-7.32134,8.70927,0.0206102
298,887.132,1.39634,0.0,0.0,1.75736e-74,-7.36173,8.75808,0.020733
299,888.096,1.39593,0.0,0.0,3.64043e-75,-7.40213,8.79805,0.0210394
300,889.061,1.39307,0.0,0.0,7.48608e-76,-7.44252,8.83558,0.0211078
301,890.025,1.39032,0.0,0.0,1.5284e-76,-7.48291,8.87323,0.0208483
302,890.989,1.39148,0.0,0.0,3.09711e-77,-7.5233,8.91478,0.0207935
303,891.953,1.39629,0.0,0.0,6.22999e-78,-7.5637,8.95998,0.0209076
304,892.918,1.39666,0.0,0.0,1.24423e-78,-7.60409,9.00075,0.0211316
305,893.882,1.39514,0.0,0.0,2.46631e-79,-7.64448,9.03962,0.0211635
306,894.846,1.39373,0.0,0.0,4.85296e-80,-7.68487,9.0786,0.0209734
307,895.811,1.40259,0.0,0.0,9.48089e-81,-7.72526,9.12785,0.0210022
308,896.775,1.40562,0.0,0.0,1.83834e-81,-7.76566,9.17128,0.0210611
309,897.739,1.40168,0.0,0.0,3.53846e-82,-7.80605,9.20773,0.0210155
310,898.703,1.39393,0.0,0.0,6.76101e-83,-7.84644,9.24037,0.0208637
311,899.668,1.39673,0.0,0.0,1.28238e-83,-7.88684,9.28357,0.0206957
